xCoordinates yCoordinates zCoordinates vx vy vz yarnAngel
0.000000000000000000e+00 1.888293702086764059e+00 3.016335971509143121e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.790052329224777861e+00 3.035027876639247779e+00 0.000000000000000000e+00 9.842255045789828349e-01 1.769185013961134256e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.691626065062779904e+00 3.052720394332139264e+00 0.000000000000000000e+00 9.859726889279643025e-01 1.669067305058719586e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.593025075873364615e+00 3.069411697159344143e+00 0.000000000000000000e+00 9.876180339232853989e-01 1.568777201182635639e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.494259545976160730e+00 3.085100061106077263e+00 0.000000000000000000e+00 9.891613696201996264e-01 1.468325061118646857e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.395339676685912744e+00 3.099783865749319745e+00 0.000000000000000000e+00 9.906025366103353713e-01 1.367721260387845528e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.296275685258804211e+00 3.113461594425178447e+00 0.000000000000000000e+00 9.919413860381280923e-01 1.266976190177121209e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.197077803837136356e+00 3.126131834385549979e+00 0.000000000000000000e+00 9.931777796162228888e-01 1.166100256263988555e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.097756278392468365e+00 3.137793276944032428e+00 0.000000000000000000e+00 9.943115896397349829e-01 1.065103877943522348e-01 0.000000000000000000e+00
0.000000000000000000e+00 9.983213676673288184e-01 3.148444717611106114e+00 0.000000000000000000e+00 9.953426989994605956e-01 9.639974869505225918e-02 0.000000000000000000e+00
0.000000000000000000e+00 8.987833421156095071e-01 3.158085056218535414e+00 0.000000000000000000e+00 9.962710011939602817e-01 8.627915263830530923e-02 0.000000000000000000e+00
0.000000000000000000e+00 7.991524828417471138e-01 3.166713297033005858e+00 0.000000000000000000e+00 9.970964003405610177e-01 7.614964496237403013e-02 0.000000000000000000e+00
0.000000000000000000e+00 6.994390805388079890e-01 3.174328548858973420e+00 0.000000000000000000e+00 9.978188111852651643e-01 6.601227192593885074e-02 0.000000000000000000e+00
0.000000000000000000e+00 5.996534344255803894e-01 3.180930025130709993e+00 0.000000000000000000e+00 9.984381591115467636e-01 5.586808060015668181e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.998058511827853656e-01 3.186517043993553955e+00 0.000000000000000000e+00 9.989543801480701424e-01 4.571811876034480998e-02 0.000000000000000000e+00
0.000000000000000000e+00 3.999066438885201524e-01 3.191089028374328507e+00 0.000000000000000000e+00 9.993674209752866355e-01 3.556343477793220964e-02 0.000000000000000000e+00
0.000000000000000000e+00 2.999661309530370912e-01 3.194645506040956207e+00 0.000000000000000000e+00 9.996772389309517282e-01 2.540507751196413241e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.999946350529748229e-01 3.197186109651221742e+00 0.000000000000000000e+00 9.998838020145203176e-01 1.524409620107046275e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.000024820651469887e-01 3.198710576790730897e+00 0.000000000000000000e+00 9.999870888904631716e-01 5.081540354743754179e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.199218750000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
